customer_id,first_name,last_name,email,street,city,state,country
0,Lance,Woods,christina59@example.net,3204 Paula Junction Apt. 023,North Huntertown,New Mexico,Estonia
1,Thomas,Mcmillan,jeansmith@example.net,22623 Michelle Flats,Smithhaven,Oklahoma,Iran
2,Ashley,Jones,laurafleming@example.org,198 Gomez Locks,Lake Shawn,North Dakota,Mongolia
3,Jill,Hurst,carol52@example.com,184 Stacy Trail Suite 788,Coryton,Michigan,Nepal
4,Jeremiah,Webb,kelleyashley@example.net,53728 Sanchez Trafficway Suite 540,Kevinberg,Virginia,Norfolk Island
5,Paula,Fry,paula98@example.net,125 Kim Ville Apt. 920,North Michael,Colorado,Libyan Arab Jamahiriya
6,Vanessa,Smith,hwells@example.com,87777 Griffin Burg Suite 355,Patriciaside,South Carolina,Bahrain
7,Erika,Martin,sholloway@example.net,024 Matthew Ford,South Kristen,Florida,Panama
8,Douglas,French,phillipspeter@example.com,5144 Laura Brooks,East Elizabeth,South Carolina,Saint Pierre and Miquelon
9,Blake,Martinez,taylor17@example.org,7419 Gibbs Land Suite 183,Grahamborough,Alabama,Saint Barthelemy
10,William,Gordon,davisjohn@example.org,77913 Ortega Ville Suite 795,Thomasmouth,Minnesota,Malawi
11,Brenda,Russell,crossmichael@example.com,4713 Day Spring Apt. 420,Cookside,Delaware,Saint Kitts and Nevis
12,Ashley,Brown,robertstimothy@example.net,50143 Perkins Neck Suite 824,Catherineland,Oklahoma,Kazakhstan
13,Eric,Hunter,joe81@example.com,3425 Kendra Place,Lynchstad,Missouri,Uruguay
14,Joanna,Hull,danielgordon@example.com,386 Walker Island Apt. 377,Lake Tamarafort,Oregon,Ukraine
15,Nicholas,Espinoza,jennifer83@example.net,5181 Steven Street,New Pamelafort,Pennsylvania,Rwanda
16,Erica,Morales,mandy64@example.org,9889 Kennedy Forge,West Aaronbury,Delaware,Namibia
17,Michael,Curtis,jordan04@example.net,91480 Mclean Forest Apt. 329,Brownmouth,Indiana,India
18,Amanda,Daniel,theresarose@example.com,681 Amanda Inlet Apt. 510,Lake Davidville,New Jersey,Palestinian Territory
19,Charles,Robertson,kylecooper@example.com,106 Richard Mount,West Penny,Michigan,Greece
20,Victor,Joseph,michaelwilson@example.net,719 Jennifer Orchard Apt. 294,New Jacobborough,Ohio,Central African Republic
21,Austin,Dillon,larry77@example.org,004 Martin Cape Suite 461,West Morgan,Maryland,Hungary
22,Lori,Baldwin,katherine66@example.org,51213 Patrick Flat Suite 160,Rebeccafurt,Alabama,New Caledonia
23,Latoya,Ramsey,karen52@example.net,813 Tara Tunnel,Lake Carlos,Rhode Island,Nepal
24,Ryan,Walker,heathernelson@example.org,0357 Michael Well,Kristastad,Idaho,Bermuda
25,Michael,Hall,scottsandoval@example.com,9433 William Circles,East Ericfort,South Dakota,Rwanda
26,Clinton,Bond,rachel27@example.com,755 Jason Parkway Suite 105,Garyside,Nevada,Congo
27,Krystal,Anderson,johnsonjessica@example.com,8895 Connie Center,Kathrynmouth,Washington,Taiwan
28,Susan,Davis,youngteresa@example.net,749 Nathan Ports,Westville,Arizona,Cuba
