customer_id,first_name,last_name,email,street,city,state,country
0,Charles,Owens,esmall@example.org,63156 Andrew Heights Apt. 961,North Johnton,Washington,British Indian Ocean Territory (Chagos Archipelago)
1,abc,Middleton,tray@example.com,034 Joshua Mount,Lake Ricardotown,Arkansas,Ghana
2,Robert,Ramirez,nshelton@example.org,85105 Christina Mills,Joshuaview,South Carolina,Malta
3,Christopher,Ramirez,robert74@example.net,329 David Turnpike Suite 073,Jacksonland,New Jersey,Solomon Islands
4,Steven,Jackson,mark90@example.com,557 William Common Apt. 269,North Jonathan,Washington,Zambia
5,Ashley,Morgan,nelsonmarie@example.org,236 Cook Stream Suite 706,New Tinaville,Delaware,Qatar
6,Kayla,Robinson,annejohnston@example.net,699 Tyler Rapid Suite 501,Port Tiffany,New Hampshire,Reunion
7,Nathaniel,Townsend,ccantu@example.com,5830 Herrera Parks,East Destiny,New Mexico,Taiwan
8,Thomas,Baker,hughesjessica@example.org,516 Danielle Course,New Thomasfort,Delaware,Tuvalu
9,Alexandra,Johnson,ortegaderek@example.org,7580 Nicholas Falls,Lake Danielport,North Dakota,Eritrea
10,Hannah,Pace,marie80@example.net,7532 Collins Light,South Alicia,Montana,Saint Barthelemy
11,Christine,Miller,johnsondawn@example.com,715 Donald Valleys,Annashire,Maine,Monaco
12,Mark,Howard,aday@example.org,0502 Elaine Drive,Rebeccatown,Oregon,Luxembourg
13,Roger,Underwood,krystal98@example.com,29332 John Spring,New Kayla,Maryland,Guatemala
14,Rhonda,Wilson,gonzalezperry@example.com,505 Sullivan Point,Jessicafurt,North Dakota,Guatemala
15,Jared,Lowe,lewisjoshua@example.net,433 Alvarez Prairie,New Rebecca,Maine,San Marino
16,Nicholas,Fleming,williamsamber@example.net,51055 Pierce Mountains,East Shannon,New Hampshire,Bouvet Island (Bouvetoya)
17,Gina,Watson,franklinjacob@example.org,022 Shelly Run Apt. 462,Port Tiffanychester,Hawaii,Palestinian Territory
18,Monica,Rivera,josephperkins@example.org,37882 Davis Mews,Dianetown,Idaho,Romania
19,Patricia,Palmer,vanessanelson@example.net,43793 Gerald Ville,South Danielmouth,Wyoming,Guadeloupe
20,Lindsay,Koch,thomasjoshua@example.com,92972 Amy Mission Apt. 207,Lake Brian,Hawaii,Burundi
21,Abigail,Mejia,kathycisneros@example.com,667 Lisa Wall Apt. 467,South Kelsey,Washington,Taiwan
22,Francisco,Leon,shane67@example.com,978 Karina Ramp,Fletcherberg,Wyoming,Tuvalu
